Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Welterweight Bout,Robbie Lawler,Niko Price,False,KO/TKO,1,0:38,,Marc Goddard,,Robbie Lawler,1,8 of 10,80%,8 of 10,0 of 0,---,0,0,0:00,8 of 10,8 of 10,0 of 0,0 of 0,4 of 6,4 of 4,0 of 0,Niko Price,0,2 of 7,28%,2 of 7,0 of 0,---,0,0,0:00,2 of 7,0 of 3,1 of 2,1 of 2,1 of 6,1 of 1,0 of 0
Catch Weight Bout,Tatsuro Taira,Edgar Chairez,False,Decision - Unanimous,3,5:00,,Herb Dean,,Tatsuro Taira,0,61 of 78,78%,121 of 148,2 of 3,66%,1,1,9:53,61 of 78,40 of 54,2 of 4,19 of 20,26 of 36,0 of 0,35 of 42,Edgar Chairez,1,25 of 38,65%,26 of 39,0 of 0,---,2,1,0:25,25 of 38,15 of 23,5 of 6,5 of 9,25 of 38,0 of 0,0 of 0
Women's Strawweight Bout,Denise Gomes,Yazmin Jauregui,False,KO/TKO,1,0:20,,Jason Herzog,,Yazmin Jauregui,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Denise Gomes,1,17 of 20,85%,21 of 24,0 of 0,---,0,0,0:10,17 of 20,17 of 20,0 of 0,0 of 0,4 of 6,0 of 0,13 of 14
Light Heavyweight Bout,Alonzo Menifield,Jimmy Crute,False,Submission,2,1:55,,Mark Smith,,Jimmy Crute,0,26 of 53,49%,32 of 59,1 of 5,20%,0,0,1:12,26 of 53,5 of 30,19 of 20,2 of 3,6 of 31,20 of 22,0 of 0,Alonzo Menifield,0,21 of 36,58%,25 of 40,0 of 0,---,1,0,1:45,21 of 36,18 of 33,2 of 2,1 of 1,17 of 32,4 of 4,0 of 0
Light Heavyweight Bout,Vitor Petrino,Marcin Prachnio,False,Submission,3,3:42,,Marc Goddard,,Vitor Petrino,0,44 of 81,54%,72 of 111,4 of 6,66%,2,0,8:39,44 of 81,32 of 68,9 of 10,3 of 3,24 of 58,1 of 1,19 of 22,Marcin Prachnio,0,55 of 88,62%,147 of 185,0 of 1,0%,0,0,0:18,55 of 88,25 of 54,21 of 25,9 of 9,41 of 73,14 of 15,0 of 0
Bantamweight Bout,Cameron Saaiman,Terrence Mitchell,False,KO/TKO,1,3:10,,Mark Smith,,Cameron Saaiman,0,18 of 32,56%,23 of 38,2 of 2,100%,1,1,1:37,18 of 32,15 of 29,3 of 3,0 of 0,0 of 2,4 of 6,14 of 24,Terrence Mitchell,0,3 of 7,42%,6 of 11,1 of 2,50%,0,0,1:06,3 of 7,3 of 7,0 of 0,0 of 0,0 of 3,2 of 3,1 of 1
Flyweight Bout,Jesus Aguilar,Shannon Ross,False,KO/TKO,1,0:17,,Jason Herzog,,Shannon Ross,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,2 of 3,1 of 2,1 of 1,0 of 0,2 of 3,0 of 0,0 of 0,Jesus Aguilar,1,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,2 of 3,1 of 1,0 of 0,1 of 2,2 of 3,0 of 0,0 of 0
Lightweight Bout,Esteban Ribovics,Kamuela Kirk,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Kamuela Kirk,0,56 of 107,52%,86 of 147,3 of 14,21%,1,0,6:20,56 of 107,36 of 84,12 of 15,8 of 8,51 of 101,5 of 6,0 of 0,Esteban Ribovics,0,115 of 202,56%,135 of 224,2 of 2,100%,0,0,1:15,115 of 202,94 of 177,17 of 20,4 of 5,92 of 172,10 of 13,13 of 17
Middleweight Bout,Sean Strickland,Abus Magomedov,False,KO/TKO,2,4:20,,Mark Smith,,Sean Strickland,1,81 of 188,43%,81 of 188,0 of 0,---,0,0,0:10,81 of 188,80 of 186,1 of 2,0 of 0,67 of 168,0 of 0,14 of 20,Abus Magomedov,0,47 of 101,46%,47 of 101,1 of 2,50%,0,0,0:23,47 of 101,21 of 68,16 of 23,10 of 10,47 of 101,0 of 0,0 of 0
Lightweight Bout,Grant Dawson,Damir Ismagulov,False,Decision - Unanimous,3,5:00,,Herb Dean,,Damir Ismagulov,0,13 of 28,46%,35 of 54,0 of 0,---,0,1,0:08,13 of 28,6 of 19,6 of 8,1 of 1,13 of 28,0 of 0,0 of 0,Grant Dawson,0,30 of 57,52%,84 of 128,3 of 5,60%,1,0,12:24,30 of 57,28 of 48,1 of 8,1 of 1,9 of 35,1 of 1,20 of 21
Welterweight Bout,Michael Morales,Max Griffin,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Max Griffin,0,36 of 102,35%,39 of 105,0 of 8,0%,0,0,2:10,36 of 102,28 of 93,4 of 4,4 of 5,35 of 99,1 of 3,0 of 0,Michael Morales,0,72 of 164,43%,73 of 165,1 of 1,100%,0,0,0:27,72 of 164,59 of 145,5 of 8,8 of 11,68 of 159,4 of 5,0 of 0
Women's Flyweight Bout,Ariane Lipski,Melissa Gatto,False,Decision - Split,3,5:00,,Chris Tognoni,,Ariane Lipski,0,66 of 149,44%,81 of 166,1 of 1,100%,0,0,0:47,66 of 149,28 of 101,27 of 36,11 of 12,53 of 131,12 of 15,1 of 3,Melissa Gatto,0,85 of 186,45%,100 of 201,0 of 7,0%,0,0,2:57,85 of 186,39 of 117,34 of 50,12 of 19,70 of 165,15 of 21,0 of 0
Lightweight Bout,Benoit Saint Denis,Ismael Bonfim,False,Submission,1,4:48,,Herb Dean,,Ismael Bonfim,0,14 of 24,58%,15 of 26,0 of 0,---,0,0,0:10,14 of 24,9 of 19,2 of 2,3 of 3,8 of 18,5 of 5,1 of 1,Benoit Saint Denis,0,13 of 33,39%,35 of 58,2 of 7,28%,2,0,2:57,13 of 33,3 of 18,10 of 15,0 of 0,11 of 29,2 of 4,0 of 0
Middleweight Bout,Nursulton Ruziboev,Brunno Ferreira,False,KO/TKO,1,1:17,,Mark Smith,,Brunno Ferreira,0,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:00,3 of 5,0 of 0,0 of 1,3 of 4,3 of 5,0 of 0,0 of 0,Nursulton Ruziboev,0,6 of 9,66%,6 of 9,1 of 1,100%,0,0,0:01,6 of 9,5 of 8,0 of 0,1 of 1,3 of 5,0 of 0,3 of 4
Welterweight Bout,Rinat Fakhretdinov,Kevin Lee,False,Submission,1,0:55,,Herb Dean,,Kevin Lee,0,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:00,3 of 8,3 of 8,0 of 0,0 of 0,3 of 8,0 of 0,0 of 0,Rinat Fakhretdinov,1,11 of 17,64%,11 of 17,0 of 0,---,1,0,0:20,11 of 17,6 of 12,2 of 2,3 of 3,11 of 17,0 of 0,0 of 0
Featherweight Bout,Joanderson Brito,Westin Wilson,False,KO/TKO,1,2:54,,Chris Tognoni,,Joanderson Brito,0,22 of 30,73%,24 of 32,1 of 1,100%,0,0,2:08,22 of 30,21 of 28,1 of 1,0 of 1,5 of 10,3 of 3,14 of 17,Westin Wilson,0,4 of 8,50%,14 of 18,0 of 0,---,2,0,0:00,4 of 8,0 of 3,3 of 4,1 of 1,3 of 7,1 of 1,0 of 0
Women's Featherweight Bout,Karol Rosa,Yana Santos,False,Decision - Split,3,5:00,,Kerry Hatley,,Yana Santos,0,95 of 156,60%,151 of 213,0 of 0,---,0,0,3:53,95 of 156,20 of 69,42 of 47,33 of 40,63 of 113,32 of 43,0 of 0,Karol Rosa,0,66 of 130,50%,117 of 181,1 of 1,100%,0,0,0:41,66 of 130,38 of 95,18 of 21,10 of 14,48 of 106,12 of 14,6 of 10
Lightweight Bout,Elves Brener,Guram Kutateladze,False,KO/TKO,3,3:17,,Chris Tognoni,,Guram Kutateladze,0,85 of 163,52%,99 of 177,1 of 3,33%,0,0,2:23,85 of 163,49 of 114,28 of 40,8 of 9,54 of 122,25 of 30,6 of 11,Elves Brener,1,65 of 132,49%,93 of 165,2 of 7,28%,0,0,2:48,65 of 132,42 of 101,15 of 18,8 of 13,53 of 112,6 of 8,6 of 12
Women's Flyweight Bout,Luana Carolina,Ivana Petrovic,False,Decision - Unanimous,3,5:00,,Mark Smith,,Ivana Petrovic,0,22 of 62,35%,77 of 122,2 of 6,33%,2,1,4:11,22 of 62,15 of 51,5 of 8,2 of 3,16 of 50,4 of 10,2 of 2,Luana Carolina,0,41 of 87,47%,112 of 167,1 of 3,33%,0,0,5:45,41 of 87,18 of 60,11 of 15,12 of 12,27 of 66,7 of 8,7 of 13
Heavyweight Bout,Alexandr Romanov,Blagoy Ivanov,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Alexandr Romanov,0,85 of 154,55%,104 of 180,2 of 3,66%,0,0,2:53,85 of 154,52 of 121,11 of 11,22 of 22,74 of 137,4 of 4,7 of 13,Blagoy Ivanov,0,44 of 108,40%,44 of 108,0 of 0,---,0,0,0:00,44 of 108,38 of 102,5 of 5,1 of 1,44 of 108,0 of 0,0 of 0
Featherweight Bout,Ilia Topuria,Josh Emmett,False,Decision - Unanimous,5,5:00,,Marc Goddard,,Josh Emmett,0,87 of 305,28%,89 of 309,0 of 0,---,0,0,0:00,87 of 305,43 of 232,26 of 53,18 of 20,87 of 305,0 of 0,0 of 0,Ilia Topuria,1,152 of 344,44%,171 of 365,3 of 3,100%,0,0,3:35,152 of 344,124 of 302,9 of 16,19 of 26,114 of 289,2 of 2,36 of 53
Women's Flyweight Bout,Maycee Barber,Amanda Ribas,False,KO/TKO,2,3:42,,Keith Peterson,,Amanda Ribas,0,35 of 74,47%,43 of 85,2 of 3,66%,0,0,2:25,35 of 74,21 of 52,7 of 14,7 of 8,30 of 68,5 of 6,0 of 0,Maycee Barber,0,81 of 124,65%,93 of 139,0 of 1,0%,0,0,1:22,81 of 124,70 of 108,5 of 10,6 of 6,32 of 60,6 of 9,43 of 55
Heavyweight Bout,,,False,Could Not Continue,1,0:29,,Dan Miragliotta,,Austen Lane,0,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:00,3 of 5,1 of 3,2 of 2,0 of 0,3 of 5,0 of 0,0 of 0,Justin Tafa,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
Heavyweight Bout,,,False,Could Not Continue,1,0:29,,Dan Miragliotta,,Austen Lane,0,3 of 5,60%,3 of 5,0 of 0,---,0,0,0:00,3 of 5,1 of 3,2 of 2,0 of 0,3 of 5,0 of 0,0 of 0,Justin Tafa,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
Featherweight Bout,David Onama,Gabriel Santos,False,KO/TKO,2,4:13,,Keith Peterson,,David Onama,1,53 of 104,50%,59 of 118,0 of 1,0%,0,1,2:53,53 of 104,47 of 95,3 of 6,3 of 3,42 of 86,3 of 5,8 of 13,Gabriel Santos,0,39 of 73,53%,56 of 90,2 of 4,50%,2,0,1:31,39 of 73,22 of 46,9 of 14,8 of 13,36 of 70,1 of 1,2 of 2
Middleweight Bout,Brendan Allen,Bruno Silva,False,Submission,1,4:39,,Marc Goddard,,Brendan Allen,1,30 of 56,53%,40 of 69,0 of 2,0%,1,0,2:29,30 of 56,24 of 49,5 of 6,1 of 1,15 of 32,5 of 5,10 of 19,Bruno Silva,0,20 of 38,52%,24 of 42,0 of 0,---,0,0,0:02,20 of 38,17 of 33,3 of 5,0 of 0,16 of 33,4 of 5,0 of 0
Welterweight Bout,Neil Magny,Phil Rowe,False,Decision - Split,3,5:00,,Dan Miragliotta,,Neil Magny,0,29 of 65,44%,109 of 159,0 of 3,0%,0,0,4:31,29 of 65,23 of 57,5 of 7,1 of 1,17 of 46,12 of 19,0 of 0,Phil Rowe,0,34 of 64,53%,51 of 86,1 of 2,50%,0,0,4:38,34 of 64,17 of 43,3 of 6,14 of 15,32 of 58,2 of 6,0 of 0
Welterweight Bout,Randy Brown,Wellington Turman,False,Decision - Unanimous,3,5:00,,Andrew Glenn,,Randy Brown,0,64 of 134,47%,78 of 156,2 of 2,100%,0,0,2:47,64 of 134,21 of 85,17 of 23,26 of 26,53 of 121,11 of 13,0 of 0,Wellington Turman,0,55 of 105,52%,96 of 153,0 of 5,0%,0,0,3:05,55 of 105,19 of 60,10 of 14,26 of 31,43 of 90,12 of 15,0 of 0
Lightweight Bout,Mateusz Rebecki,Loik Radzhabov,False,KO/TKO,2,2:36,,Larry Folsom,,Mateusz Rebecki,2,54 of 95,56%,64 of 110,1 of 1,100%,1,0,1:57,54 of 95,24 of 58,12 of 17,18 of 20,54 of 95,0 of 0,0 of 0,Loik Radzhabov,0,19 of 54,35%,19 of 54,0 of 0,---,0,0,0:03,19 of 54,16 of 50,3 of 4,0 of 0,19 of 54,0 of 0,0 of 0
Women's Strawweight Bout,Tabatha Ricci,Gillian Robertson,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Tabatha Ricci,0,100 of 315,31%,101 of 318,3 of 8,37%,0,0,0:38,100 of 315,59 of 257,17 of 25,24 of 33,95 of 306,3 of 7,2 of 2,Gillian Robertson,0,76 of 219,34%,78 of 225,1 of 4,25%,0,0,0:26,76 of 219,31 of 150,24 of 40,21 of 29,74 of 212,2 of 7,0 of 0
Flyweight Bout,Joshua Van,Zhalgas Zhumagulov,False,Decision - Split,3,5:00,,Andrew Glenn,,Zhalgas Zhumagulov,0,103 of 287,35%,104 of 291,1 of 5,20%,0,0,1:10,103 of 287,45 of 201,28 of 48,30 of 38,101 of 281,2 of 6,0 of 0,Joshua Van,0,120 of 234,51%,131 of 245,0 of 2,0%,0,0,0:01,120 of 234,78 of 179,29 of 41,13 of 14,106 of 217,14 of 17,0 of 0
Lightweight Bout,Chepe Mariscal,Trevor Peek,False,Decision - Unanimous,3,5:00,,Larry Folsom,,Trevor Peek,0,51 of 125,40%,65 of 140,0 of 0,---,0,1,1:23,51 of 125,25 of 91,23 of 31,3 of 3,39 of 105,12 of 20,0 of 0,Chepe Mariscal,0,71 of 117,60%,145 of 203,4 of 12,33%,1,1,5:29,71 of 117,51 of 94,11 of 14,9 of 9,41 of 78,20 of 23,10 of 16
Featherweight Bout,Jack Jenkins,Jamall Emmers,False,Decision - Split,3,5:00,,Andrew Glenn,,Jamall Emmers,0,57 of 155,36%,76 of 185,1 of 6,16%,0,2,4:17,57 of 155,26 of 98,18 of 38,13 of 19,51 of 146,1 of 3,5 of 6,Jack Jenkins,0,59 of 119,49%,85 of 154,1 of 1,100%,0,0,0:15,59 of 119,26 of 67,14 of 21,19 of 31,53 of 110,1 of 2,5 of 7
Middleweight Bout,Sedriques Dumas,Cody Brundage,False,Decision - Unanimous,3,5:00,,Dan Miragliotta,,Cody Brundage,0,3 of 10,30%,31 of 43,2 of 4,50%,1,1,1:53,3 of 10,2 of 6,0 of 1,1 of 3,3 of 10,0 of 0,0 of 0,Sedriques Dumas,0,17 of 22,77%,77 of 96,0 of 0,---,0,2,11:08,17 of 22,13 of 17,2 of 3,2 of 2,3 of 6,1 of 1,13 of 15
Middleweight Bout,Jared Cannonier,Marvin Vettori,False,Decision - Unanimous,5,5:00,,Herb Dean,,Marvin Vettori,0,153 of 301,50%,154 of 302,1 of 1,100%,0,0,0:28,153 of 301,117 of 257,15 of 21,21 of 23,148 of 293,5 of 8,0 of 0,Jared Cannonier,0,241 of 411,58%,257 of 428,4 of 6,66%,0,0,3:07,241 of 411,173 of 339,39 of 43,29 of 29,195 of 354,26 of 31,20 of 26
Lightweight Bout,Arman Tsarukyan,Joaquim Silva,False,KO/TKO,3,3:25,,Keith Peterson,,Arman Tsarukyan,0,80 of 115,69%,134 of 175,4 of 5,80%,0,0,9:01,80 of 115,64 of 95,13 of 17,3 of 3,32 of 64,7 of 8,41 of 43,Joaquim Silva,0,23 of 41,56%,77 of 96,0 of 0,---,0,0,0:00,23 of 41,11 of 27,9 of 11,3 of 3,11 of 25,10 of 13,2 of 3
Middleweight Bout,Armen Petrosyan,Christian Leroy Duncan,False,Decision - Unanimous,3,5:00,,Mark Smith,,Armen Petrosyan,0,89 of 156,57%,111 of 179,1 of 2,50%,0,0,3:21,89 of 156,37 of 90,15 of 22,37 of 44,77 of 139,10 of 14,2 of 3,Christian Leroy Duncan,0,59 of 122,48%,73 of 136,0 of 3,0%,0,0,1:09,59 of 122,23 of 72,8 of 16,28 of 34,58 of 121,0 of 0,1 of 1
Featherweight Bout,Pat Sabatini,Lucas Almeida,False,Submission,2,1:48,,Chris Tognoni,,Pat Sabatini,0,27 of 35,77%,88 of 97,2 of 3,66%,1,0,6:27,27 of 35,25 of 32,1 of 2,1 of 1,1 of 2,2 of 2,24 of 31,Lucas Almeida,0,2 of 4,50%,3 of 5,0 of 0,---,0,0,0:00,2 of 4,0 of 2,1 of 1,1 of 1,1 of 3,1 of 1,0 of 0
Lightweight Bout,Manuel Torres,Nikolas Motta,False,KO/TKO,1,1:50,,Herb Dean,,Manuel Torres,1,13 of 17,76%,13 of 17,0 of 0,---,0,0,0:01,13 of 17,3 of 7,6 of 6,4 of 4,12 of 16,0 of 0,1 of 1,Nikolas Motta,0,7 of 14,50%,7 of 14,0 of 0,---,0,0,0:00,7 of 14,3 of 10,1 of 1,3 of 3,7 of 14,0 of 0,0 of 0
Welterweight Bout,Nicolas Dalby,Muslim Salikhov,False,Decision - Unanimous,3,5:00,,Mark Smith,,Nicolas Dalby,0,86 of 140,61%,104 of 158,2 of 5,40%,0,0,6:36,86 of 140,41 of 84,36 of 43,9 of 13,43 of 91,36 of 41,7 of 8,Muslim Salikhov,0,57 of 88,64%,70 of 101,2 of 2,100%,0,0,0:55,57 of 88,34 of 58,21 of 28,2 of 2,47 of 78,10 of 10,0 of 0
Flyweight Bout,Alessandro Costa,Jimmy Flick,False,KO/TKO,2,1:03,,Keith Peterson,,Jimmy Flick,0,14 of 37,37%,14 of 37,0 of 4,0%,0,0,0:14,14 of 37,6 of 27,5 of 7,3 of 3,14 of 37,0 of 0,0 of 0,Alessandro Costa,1,65 of 91,71%,65 of 92,0 of 0,---,0,0,0:50,65 of 91,37 of 58,12 of 15,16 of 18,54 of 76,0 of 0,11 of 15
Bantamweight Bout,Kyung Ho Kang,Cristian Quinonez,False,Submission,1,2:25,,Chris Tognoni,,Kyung Ho Kang,1,22 of 37,59%,31 of 46,1 of 1,100%,1,0,0:40,22 of 37,14 of 28,3 of 4,5 of 5,17 of 31,0 of 0,5 of 6,Cristian Quinonez,0,13 of 29,44%,13 of 29,0 of 0,---,0,0,0:00,13 of 29,11 of 27,0 of 0,2 of 2,13 of 29,0 of 0,0 of 0
Flyweight Bout,Carlos Hernandez,Denys Bondar,False,Decision - Unanimous,3,4:59,,Jerin Valel,,Carlos Hernandez,0,102 of 233,43%,108 of 239,2 of 7,28%,0,0,0:40,102 of 233,87 of 213,12 of 17,3 of 3,78 of 209,17 of 17,7 of 7,Denys Bondar,0,76 of 170,44%,82 of 176,2 of 5,40%,0,0,0:29,76 of 170,37 of 121,29 of 38,10 of 11,68 of 157,7 of 12,1 of 1
Women's Flyweight Bout,Tereza Bleda,Gabriella Fernandes,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Tereza Bleda,0,57 of 99,57%,181 of 235,3 of 10,30%,0,0,10:51,57 of 99,38 of 70,12 of 18,7 of 11,17 of 56,7 of 7,33 of 36,Gabriella Fernandes,0,23 of 47,48%,47 of 72,0 of 0,---,0,0,0:10,23 of 47,11 of 34,5 of 6,7 of 7,22 of 45,1 of 2,0 of 0
Bantamweight Bout,,,False,Overturned,1,2:20,,Keith Peterson,,Dan Argueta,0,4 of 4,100%,12 of 12,1 of 1,100%,2,1,2:08,4 of 4,3 of 3,1 of 1,0 of 0,1 of 1,0 of 0,3 of 3,Ronnie Lawrence,0,1 of 2,50%,2 of 3,0 of 0,---,0,0,0:03,1 of 2,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
Bantamweight Bout,,,False,Overturned,1,2:20,,Keith Peterson,,Dan Argueta,0,4 of 4,100%,12 of 12,1 of 1,100%,2,1,2:08,4 of 4,3 of 3,1 of 1,0 of 0,1 of 1,0 of 0,3 of 3,Ronnie Lawrence,0,1 of 2,50%,2 of 3,0 of 0,---,0,0,0:03,1 of 2,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
Light Heavyweight Bout,Modestas Bukauskas,Zac Pauga,False,Decision - Unanimous,3,5:00,,Mark Smith,,Zac Pauga,0,67 of 117,57%,72 of 123,1 of 5,20%,0,0,2:17,67 of 117,35 of 80,25 of 30,7 of 7,58 of 105,7 of 10,2 of 2,Modestas Bukauskas,0,56 of 112,50%,62 of 120,0 of 0,---,0,0,1:20,56 of 112,42 of 96,10 of 12,4 of 4,50 of 102,5 of 9,1 of 1
UFC Women's Bantamweight Title Bout,Amanda Nunes,Irene Aldana,False,Decision - Unanimous,5,5:00,,Dan Miragliotta,,Amanda Nunes,0,142 of 267,53%,196 of 323,6 of 13,46%,0,0,7:00,142 of 267,97 of 198,28 of 49,17 of 20,115 of 234,5 of 8,22 of 25,Irene Aldana,0,41 of 143,28%,57 of 159,0 of 0,---,0,0,0:10,41 of 143,25 of 118,3 of 7,13 of 18,36 of 133,3 of 3,2 of 7
Lightweight Bout,Charles Oliveira,Beneil Dariush,False,KO/TKO,1,4:10,,Jason Herzog,,Charles Oliveira,1,26 of 36,72%,37 of 47,0 of 1,0%,0,0,0:31,26 of 36,23 of 32,3 of 3,0 of 1,7 of 13,3 of 3,16 of 20,Beneil Dariush,0,12 of 28,42%,32 of 59,0 of 0,---,0,0,2:44,12 of 28,8 of 24,3 of 3,1 of 1,6 of 14,0 of 0,6 of 14
Welterweight Bout,Mike Malott,Adam Fugitt,False,Submission,2,1:06,,Dan Miragliotta,,Mike Malott,1,19 of 41,46%,19 of 41,2 of 2,100%,1,1,1:26,19 of 41,9 of 29,10 of 10,0 of 2,19 of 41,0 of 0,0 of 0,Adam Fugitt,0,9 of 28,32%,16 of 35,0 of 0,---,0,0,0:07,9 of 28,2 of 17,6 of 9,1 of 2,9 of 28,0 of 0,0 of 0
Featherweight Bout,Dan Ige,Nate Landwehr,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Dan Ige,1,88 of 184,47%,88 of 184,0 of 0,---,0,0,0:41,88 of 184,61 of 143,19 of 31,8 of 10,78 of 169,6 of 8,4 of 7,Nate Landwehr,0,74 of 195,37%,74 of 195,0 of 4,0%,0,0,0:26,74 of 195,54 of 161,13 of 24,7 of 10,55 of 168,18 of 24,1 of 3
Middleweight Bout,Marc-Andre Barriault,Eryk Anders,False,Decision - Unanimous,3,5:00,,Jerin Valel,,Marc-Andre Barriault,1,95 of 192,49%,103 of 200,0 of 0,---,0,0,0:40,95 of 192,62 of 148,32 of 43,1 of 1,67 of 154,26 of 35,2 of 3,Eryk Anders,0,83 of 169,49%,87 of 173,1 of 11,9%,0,0,3:18,83 of 169,42 of 122,39 of 45,2 of 2,41 of 115,42 of 52,0 of 2
Middleweight Bout,,,False,Could Not Continue,2,3:04,,Jason Herzog,,Nassourdine Imavov,0,57 of 84,67%,59 of 86,3 of 4,75%,1,0,2:22,57 of 84,27 of 48,8 of 12,22 of 24,54 of 80,3 of 4,0 of 0,Chris Curtis,0,26 of 61,42%,34 of 69,0 of 0,---,0,0,0:00,26 of 61,4 of 28,8 of 18,14 of 15,26 of 60,0 of 1,0 of 0
Middleweight Bout,,,False,Could Not Continue,2,3:04,,Jason Herzog,,Nassourdine Imavov,0,57 of 84,67%,59 of 86,3 of 4,75%,1,0,2:22,57 of 84,27 of 48,8 of 12,22 of 24,54 of 80,3 of 4,0 of 0,Chris Curtis,0,26 of 61,42%,34 of 69,0 of 0,---,0,0,0:00,26 of 61,4 of 28,8 of 18,14 of 15,26 of 60,0 of 1,0 of 0
Women's Flyweight Bout,Jasmine Jasudavicius,Miranda Maverick,False,Decision - Unanimous,3,5:00,,Jerin Valel,,Miranda Maverick,0,63 of 127,49%,68 of 132,0 of 3,0%,0,0,0:07,63 of 127,33 of 94,17 of 18,13 of 15,56 of 120,7 of 7,0 of 0,Jasmine Jasudavicius,0,67 of 158,42%,115 of 235,1 of 1,100%,0,0,7:35,67 of 158,52 of 140,15 of 18,0 of 0,53 of 138,13 of 18,1 of 2
Bantamweight Bout,Aiemann Zahabi,Aoriqileng,False,KO/TKO,1,1:04,,John Cooper,,Aiemann Zahabi,1,5 of 8,62%,5 of 8,0 of 0,---,0,0,0:03,5 of 8,5 of 8,0 of 0,0 of 0,3 of 5,0 of 0,2 of 3,Aoriqileng,0,5 of 5,100%,5 of 5,0 of 0,---,0,0,0:00,5 of 5,0 of 0,1 of 1,4 of 4,5 of 5,0 of 0,0 of 0
Featherweight Bout,Kyle Nelson,Blake Bilder,False,Decision - Unanimous,3,5:00,,Sal Ram,,Kyle Nelson,0,59 of 126,46%,83 of 150,0 of 1,0%,0,0,2:21,59 of 126,24 of 76,20 of 31,15 of 19,57 of 124,2 of 2,0 of 0,Blake Bilder,0,45 of 120,37%,84 of 159,0 of 3,0%,0,0,2:45,45 of 120,26 of 96,2 of 4,17 of 20,45 of 119,0 of 1,0 of 0
Flyweight Bout,Steve Erceg,David Dvorak,False,Decision - Unanimous,3,5:00,,Mitch Cadlick,,David Dvorak,0,53 of 114,46%,56 of 117,1 of 3,33%,0,0,1:57,53 of 114,26 of 77,10 of 19,17 of 18,46 of 102,4 of 7,3 of 5,Steve Erceg,0,54 of 140,38%,56 of 142,3 of 4,75%,1,0,1:29,54 of 140,28 of 101,16 of 26,10 of 13,46 of 131,7 of 8,1 of 1
Women's Strawweight Bout,Diana Belbita,Maria Oliveira,False,Decision - Unanimous,3,5:00,,Phil Koldyk,,Diana Belbita,0,106 of 208,50%,154 of 258,1 of 2,50%,0,0,2:04,106 of 208,71 of 165,20 of 25,15 of 18,76 of 176,22 of 24,8 of 8,Maria Oliveira,0,64 of 168,38%,85 of 200,2 of 5,40%,0,0,4:06,64 of 168,45 of 142,11 of 18,8 of 8,62 of 166,1 of 1,1 of 1
Flyweight Bout,Amir Albazi,Kai Kara-France,False,Decision - Split,5,5:00,,Herb Dean,,Kai Kara-France,0,99 of 283,34%,133 of 323,2 of 2,100%,0,0,0:58,99 of 283,57 of 224,20 of 30,22 of 29,90 of 267,1 of 2,8 of 14,Amir Albazi,0,43 of 145,29%,64 of 173,1 of 9,11%,1,0,6:10,43 of 145,31 of 125,6 of 13,6 of 7,39 of 135,1 of 5,3 of 5
Featherweight Bout,Alex Caceres,Daniel Pineda,False,Decision - Unanimous,3,5:00,,Mark Smith,,Alex Caceres,0,60 of 99,60%,86 of 128,1 of 2,50%,0,1,4:26,60 of 99,32 of 69,26 of 28,2 of 2,45 of 76,11 of 15,4 of 8,Daniel Pineda,0,27 of 56,48%,43 of 74,3 of 11,27%,1,1,3:57,27 of 56,15 of 42,3 of 4,9 of 10,22 of 50,2 of 3,3 of 3
